Address,Area,Price,Lat,Lon
68 Kenilworth Ave Toronto,The Beach,1929000,43.668091,-79.301514
#1505 - 125 Western Battery Rd Toronto,Niagara,399900,43.639946,-79.416664
110 Kirker Ave Toronto,Woburn,25,43.759617,-79.206642
138 Mckee Ave Toronto,Willowdale,3988000,43.774734,-79.40568499999999
#2403 - 375 King St Toronto,Downtown,548000,43.645641,-79.39295200000001
22 Strathearn Blvd Toronto,Midtown Toronto,5288000,43.691134999999996,-79.415573
5051 Finch Ave Toronto,Bridlewood,145,43.796768,-79.315636
#406 - 300 Manitoba St Toronto,Mimico,309000,43.62421,-79.489449
#1901 - 231 Fort York Blvd Toronto,Niagara,369000,43.636837,-79.406052
#1010 - 65 East Liberty St Toronto,Liberty Village,420000,43.638054,-79.41481800000001
#3706 - 15 Fort York Blvd Toronto,Downtown,33,43.640057,-79.393967
#203 - 17 Kenaston Gdns Toronto,Bayview Village,429000,43.766094,-79.385582
#502 - 2 Anndale Dr Toronto,Willowdale,559000,43.760464,-79.410248
1060 Midland Ave Toronto,Bendale,699900,43.744205,-79.262428
#701 - 3 Massey Sq Toronto,Old East York,315000,43.696827,-79.29341099999999
#711 - 33 Singer Crt Toronto,Bayview Village,428000,43.769611,-79.368416
70 Dundalk Dr Toronto,Dorset Park,113,43.769642,-79.28613299999999
#1127 - 5 Everson Dr Toronto,Willowdale,348800,43.757408,-79.406853
#1501 - 3050 Ellesmere Rd Toronto,Morningside,209900,43.786037,-79.197723
112 Helendale Ave Toronto,Midtown Toronto,989000,43.708542,-79.40211500000001
#2004 - 21 Balmuto St Toronto,Downtown,445900,43.669151,-79.387375
#707 - 5 Rowntree Rd Toronto,Rexdale,319901,43.74955,-79.58075
255 Seaton St Toronto,Downtown,25,43.660812,-79.370216
45 Valhalla Blvd Toronto,Birch Cliff,699000,43.688419,-79.267677
#917 - 103 The Queensway Ave Toronto,Swansea,25,43.636292,-79.470467
#512 - 35 Bastion St Toronto,Niagara,105,43.637207000000004,-79.403572
102 Mcgillivray Ave Toronto,Nortown,1299900,43.736374,-79.430412
1 Axsmith Cres Toronto,Don Valley Village,41,43.78788,-79.351738
#1912 - 62 Forest Manor Rd Toronto,Henry Farm,325000,43.773922,-79.345726
14 Rosemount Dr Toronto,Ionview,25,43.732124,-79.275276
9 Isaac Devins Blvd Toronto,Humberlea,1049000,43.729229,-79.534203
#2202 - 88 Grangeway Ave Toronto,Woburn,25,43.773827000000004,-79.250023
#3601 - 2220 Lakeshore Blvd Toronto,Mimico,320000,43.62273,-79.483192
#320 - 18 William Carson Cres Toronto,York Mills,145,43.749531,-79.407188
#537 - 665 Kennedy Rd Toronto,Scarborough Junction,179000,43.72599,-79.265015
#2112 - 4968 Yonge St Toronto,Lansing,113,43.765152,-79.412277
#2709 - 70 Temperance St Toronto,Downtown,459000,43.650372,-79.382347
179 Carolbreen Sq Toronto,Milliken,25,43.807594,-79.28289000000001
#2708 - 5168 Yonge St Toronto,Willowdale,409900,43.769829,-79.413467
#1003 - 763 Bay St Toronto,Downtown,105,43.660103,-79.385086
#1905 - 17 Anndale Dr Toronto,Willowdale,580000,43.760135999999996,-79.40789000000001
#303 - 5229 Dundas St Toronto,Islington - City Centre West,33,43.639355,-79.53694899999999
#1509 - 88 Alton Towers Circ Toronto,Toronto,25,43.824669,-79.274445
#2002 - 2 Anndale Dr Toronto,Willowdale,605900,43.760464,-79.410248
#613 - 4064 Lawrence Ave Toronto,West Hill,25,43.76638,-79.197601
#901 - 2756 Old Leslie St Toronto,Bayview Village,105,43.769721999999994,-79.36692
1571-73 Bayview Ave Toronto,Leaside,25,43.7057,-79.374969
#Main Fl - 454 Bloor St Toronto,Midtown Toronto,49,43.66571,-79.40909599999999
1571-73 Bayview Ave Toronto,Leaside,97,43.7057,-79.374969
#2016 - 155 Beecroft Rd Toronto,Willowdale,469900,43.765537,-79.413155
#403 - 35 Brian Peck Cres Toronto,Leaside,25,43.714638,-79.35463
#1016 - 35 Bales Ave Toronto,Willowdale,515000,43.760181,-79.408218
88 Twenty Sixth St Toronto,Long Branch,25,43.600151000000004,-79.52619200000001
#729 - 39 Queens Quay Way Toronto,Downtown,438800,43.641346,-79.372421
22 Norman Wesley Way Toronto,Downsview,579999,43.743221000000005,-79.488487
25 Parkland Rd Toronto,Birch Cliff,1790000,43.685295,-79.281013
2 La Rush Dr Toronto,Humber Heights - Westmount,25,43.691578,-79.516853
30 Exeter St Toronto,Carleton Village,699900,43.673656,-79.455894
